State,Medical School,Course,"Required or
Recommended?",Lab?,Credit Hours,"Pass/
Fail","AP
Credit","Online
Course","Community
College",Additional Info
AL,University of South Alabama College of Medicine,,,,,,C,,,Behavioral Sciences coursework may be used in place of Social Sciences. Pass/Fail is accepted the Spring semester of 2020 only.
AL,University of South Alabama College of Medicine,Social Sciences,,,,,C,Y,,C
AL,University of South Alabama College of Medicine,,Required,N,3,N,C,C,,C
AL,University of South Alabama College of Medicine,Statistics,Recommended,N,,,C,Y,,C
AR,University of Arkansas for Medical Sciences College of Medicine,Behavioral Sciences,Required,N,6,,C,Y,Y,
AR,"University of
Arkansas for
Medical Sciences College of Medicine",Biochemistry,Required,N,3,Y,C,Y,N,"A general biochemistry course is required, taught by
a chemistry department with prerequisites that
include General Chemistry and Organic Chemistry."
AR,"University of
Arkansas for
Medical Sciences College of Medicine",Biology,Required,N,6,,C,Y,Y,
AR,"University of
Arkansas for
Medical Sciences College of Medicine",Biology/Zoology,Recommended,N,,,C,,,
AR,"University of
Arkansas for
Medical Sciences College of Medicine",Calculus,,N,,,C,,,
AR,"University of
Arkansas for
Medical Sciences College of Medicine",College English,Required,N,6,,C,Y,Y,
AR,"University of
Arkansas for
Medical Sciences College of Medicine",College Mathematics,,N,,,C,,,
AR,"University of
Arkansas for
Medical Sciences College of Medicine",Computer Science,Recommended,N,,,C,,,
AR,"University of
Arkansas for
Medical Sciences College of Medicine",Genetics,Required,N,3,Y,C,Y,N,
AR,"University of
Arkansas for
Medical Sciences College of Medicine",Humanities,Recommended,N,,,C,,,
AR,"University of
Arkansas for
Medical Sciences College of Medicine",Inorganic Chemistry,Required,N,3,,C,Y,Y,
AR,"University of
Arkansas for
Medical Sciences College of Medicine",Organic Chemistry,Required,N,3,Y,C,N,N,"Online Organic Chemistry Lab accepted for Spring
and Summer 2020 terms"
AR,"University of
Arkansas for
Medical Sciences College of Medicine",Physics,Required,N,6,,C,Y,Y,
AR,"University of
Arkansas for
Medical Sciences College of Medicine",Psychology,Recommended,N,,,C,,,
AR,"University of
Arkansas for
Medical Sciences College of Medicine",Social Sciences,Recommended,N,,,C,Y,Y,
AR,"University of
Arkansas for
Medical Sciences College of Medicine",Spanish,Recommended,N,,,C,,,
AR,"University of
Arkansas for
Medical Sciences College of Medicine","Speech
Communications",Recommended,N,,,C,,,
AR,"University of
Arkansas for
Medical Sciences College of Medicine",Statistics,Required,N,3,,C,Y,Y,
AZ,University of Arizona College of Medicine,Behavioral Sciences,Required,,,C,C,Y,Y,"Requirement: One semester or one quarter of Social
or Behavioral Sciences https://
medicine.arizona.edu/admissions/key-info/
requirements"
AZ,University of Arizona College of Medicine,Biochemistry,Required,,,C,C,Y,Y,"Requirement: 2 semesters or 2 quarters of
Biochemistry or (1 Biochemistry/1 Genetics) https://
medicine.arizona.edu/admissions/key-info/
requirements"
AZ,University of Arizona College of Medicine,Biology,,,,,C,,,
AZ,University of Arizona College of Medicine,Biology/Zoology,,,,,C,,,
AZ,University of Arizona College of Medicine,Calculus,,,,,C,,,
AZ,University of Arizona College of Medicine,College English,Required,,,C,C,Y,Y,"Requirement: 2 semesters or 2 quarters of Writing
Intensive/ English
https://medicine.arizona.edu/admissions/key-info/
requirements"
AZ,University of Arizona College of Medicine,College Mathematics,,,,,C,,,
AZ,University of Arizona College of Medicine,Computer Science,,,,,C,,,
AZ,University of Arizona College of Medicine,Genetics,Required,,,C,C,Y,Y,"Requirement: 2 semesters or 2 quarters of
Biochemistry or (1 Biochemistry/1 Genetics) https://
medicine.arizona.edu/admissions/key-info/
requirements"
AZ,University of Arizona College of Medicine,Humanities,,,,,C,,,
AZ,University of Arizona College of Medicine,Inorganic Chemistry,,,,,C,,,
AZ,University of Arizona College of Medicine,"Molecular Biology or
Cell Biology or
Histology or
Microbiology or
Pharmacology or
Pathology or
Immunology",Required,N,,C,C,C,Y,"2 semesters/2 quarters: upper div of any 2 from diff
disciplines: Mole Bio, Cell Bio, Histology,
Microbiology, Pharmacology, Pathology,
Immunology. Can use 1 sem Genetics if taken 2
semesters Biochem."
AZ,University of Arizona College of Medicine,Organic Chemistry,,,,,C,,,
AZ,University of Arizona College of Medicine,Physics,,,,,C,,,
AZ,University of Arizona College of Medicine,Physiology,Required,,,C,C,Y,Y,"Requirement: 2 semesters or 2 quarters of
Physiology https://medicine.arizona.edu/admissions/
key-info/requirements"
AZ,University of Arizona College of Medicine,Psychology,,,,,C,,,
AZ,University of Arizona College of Medicine,Social Sciences,Required,,,C,C,Y,Y,"Requirement: One semester or one quarter of Social
or Behavioral Sciences https://
medicine.arizona.edu/admissions/key-info/
requirements"
AZ,University of Arizona College of Medicine,Statistics/Biostatistics,Required,,,C,C,Y,Y,"Requirement: One semester or one quarter of
Statistics/Biostatistics https://medicine.arizona.edu/
admissions/key-info/requirements"
AZ,University of Arizona College of Medicine -Phoenix,Behavioral Sciences,Required,N,6,C,C,Y,Y,"Disciplines include: cultural anthropology, econ,
health care admin, psychology, sociology, public
policy, family studies, history, political science, social
work, behavioral health, gender studies."
AZ,University of Arizona College of Medicine -Phoenix,Biochemistry,Required,N,3,C,C,Y,Y,
AZ,University of Arizona College of Medicine -Phoenix,Biology,Required,N,6,C,C,Y,Y,"Two courses in any biological discipline are required.
Please note we have a separate requirement
specifically for human or mammalian physiology."
AZ,University of Arizona College of Medicine -Phoenix,Biology/Zoology,,,,,C,,,
AZ,University of Arizona College of Medicine -Phoenix,Calculus,,,,,C,,,
AZ,University of Arizona College of Medicine -Phoenix,Chemistry,Required,N,3,C,C,Y,Y,"Any course within the chemistry department can be
applied to this requirement. Please note we have a
separate requirement specifically for biochemistry."
AZ,University of Arizona College of Medicine -Phoenix,College English,Required,N,6,C,C,Y,Y,"Two writing-intensive courses are required. These
requirements may be met with course work outside
of the English department."
AZ,University of Arizona College of Medicine -Phoenix,College Mathematics,Required,N,3,C,C,Y,Y,"One course beyond College Algebra is required (ex:
Statistics, Precalculus, etc.)."
AZ,University of Arizona College of Medicine -Phoenix,Computer Science,,,,,C,,,
AZ,University of Arizona College of Medicine -Phoenix,Genetics,,,,,C,,,
AZ,University of Arizona College of Medicine -Phoenix,Humanities,Required,N,3,C,C,Y,Y,"Disciplines include: art, music, theater, speech and
communication, philosophy, religion, ethics,
literature, etc."
AZ,University of Arizona College of Medicine -Phoenix,Inorganic Chemistry,,,,,C,,,
AZ,University of Arizona College of Medicine - phoenix,Organic Chemistry,,,,,C,,,
AZ,University of Arizona College of Medicine - phoenix,Physics,,,,,C,,,
AZ,University of Arizona College of Medicine - phoenix,Physiology,Required,N,3,C,C,Y,,"Course must cover human or mammalian physiolgy.
A human anatomy course by itself will not meet this
requirement, however, a combined Anatomy and
Physiololgy course will suffice."
AZ,University of Arizona College of Medicine - phoenix,Psychology,,,,,C,,,
AZ,University of Arizona College of Medicine - phoenix,Social Sciences,,,,,C,,,
AZ,University of Arizona College of Medicine - phoenix,Anatomy,Recommended,,,,C,,,
CA,California Northstate University College of Medicine,Behavioral Sciences,Recommended,N,,,C,C,Y,
CA,California Northstate University College of Medicine,Biochemistry,Required,N,3,,C,C,Y,"1 semester, 1 quarter, or 3 units of Biochemistry"
CA,California Northstate University College of Medicine,Biology,Required,Y,8,,C,C,Y,"2 semesters, or 3 quarters, or 1 year of Organic
Chemistry with Laboratory"
CA,California Northstate University College of Medicine,Biology/Zoology,,,,,C,,,
CA,California Northstate University College of Medicine,Calculus,Recommended,,,,C,C,Y,
CA,California Northstate University College of Medicine,College English,Required,N,6,,C,Y,Y,"2 semesters, or 3 quarters, or 1 year of college level
English (IB or AP credits may be considered if they
are accepted by the undergraduate program)"
CA,California Northstate University College of Medicine,College Mathematics,Required,N,6,,C,C,Y,"2 semesters, or 3 quarters of college level Math
(Statistics and/or Calculus preferred)"
CA,California Northstate University College of Medicine,Computer Science,,,,,C,,,
CA,California Northstate University College of Medicine,Foreign Language,Recommended,,,,C,,,
CA,California Northstate University College of Medicine,Genetics,,,,,C,,,
CA,California Northstate University College of Medicine,Humanities,,,,,C,,,
CA,California Northstate University College of Medicine,Immunology,Recommended,,,,C,,,
CA,California Northstate University College of Medicine,Inorganic Chemistry,Required,Y,8,,C,C,,"2 semesters, or 2 quarters of Inorganic Chemistry or
General Chemistry with a minimum of 8 units with
Laboratory"
CA,California Northstate University College of Medicine,Microbiology,Recommended,,,,C,,,
CA,California Northstate University College of Medicine,Organic Chemistry,Required,Y,8,,C,C,Y,"2 semesters, or 2 quarters of Organic Chemistry with
a minimum of 8 units with Laboratory"
CA,California Northstate University College of Medicine,Physics,Required,N,6,,C,C,Y,"2 semesters, or 3 quarters, or 1 year of Physics"
CA,California Northstate University College of Medicine,Physiology,Recommended,,,,C,,,
CA,California Northstate University College of Medicine,Psychology,,,,,C,,,
CA,California Northstate University College of Medicine,Social Sciences,Recommended,N,,,C,C,C,
CA,California University of Science and Medicine-School of Medicine,Behavioral Sciences,Recommended,,,Y,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,California University of Science and Medicine-School of Medicine,Biochemistry,Recommended,,,Y,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,California University of Science and Medicine-School of Medicine,Biology,Recommended,Y,12,Y,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,California University of Science and Medicine-School of Medicine,Biology/Zoology,,,,,,,,
CA,California University of Science and Medicine-School of Medicine,Calculus,Recommended,N,12,Y,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,California University of Science and Medicine-School of Medicine,College English,Recommended,,12,Y,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,California University of Science and Medicine-School of Medicine,College Mathematics,Recommended,,,Y,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,California University of Science and Medicine-School of Medicine,Computer Science,,,,,,,,
CA,California University of Science and Medicine-School of Medicine,General Chemistry,Recommended,,,Y,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,California University of Science and Medicine-School of Medicine,Genetics,,,,,,,,
CA,California University of Science and Medicine-School of Medicine,Humanities,Recommended,,,Y,,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,California University of Science and Medicine-School of Medicine,Inorganic Chemistry,Recommended,Y,12,Y,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,California University of Science and Medicine-School of Medicine,Molecular Biology,Recommended,,,Y,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,California University of Science and Medicine-School of Medicine,Organic Chemistry,Recommended,Y,12,Y,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,California University of Science and Medicine-School of Medicine,Physics,Recommended,Y,12,Y,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the
2019-2020,2020-2021, and 2021-2022 academic
years."
CA,California University of Science and Medicine-School of Medicine,Psychology,,,,,,,,
CA,California University of Science and Medicine-School of Medicine,Social Sciences,,,,,,,,
CA,Charles R Drew University of Medicine and Science,Behavioral Sciences,Recommended,N,6,N,N,Y,Y,
CA,Charles R Drew University of Medicine and Science,Biochemistry,Required,N,3,N,N,C,Y,
CA,Charles R Drew University of Medicine and Science,Biology,Required,Y,8,N,N,C,Y,
CA,Charles R Drew University of Medicine and Science,Biology/Zoology,,,,,,,,
CA,Charles R Drew University of Medicine and Science,"Biostatistics &
Epidemiology",Recommended,N,,N,N,,Y,
CA,Charles R Drew University of Medicine and Science,Calculus,Required,N,3,,N,C,Y,
CA,Charles R Drew University of Medicine and Science,College English,Required,N,6,N,N,Y,Y,
CA,Charles R Drew University of Medicine and Science,College Mathematics,,,,,,,,
CA,Charles R Drew University of Medicine and Science,Computer Science,,,,,,,,
CA,Charles R Drew University of Medicine and Science,General Chemistry,Required,Y,8,N,N,C,Y,
CA,Charles R Drew University of Medicine and Science,Genetics,,,,,,,,
CA,Charles R Drew University of Medicine and Science,Humanities,Recommended,,,,,,,
CA,Charles R Drew University of Medicine and Science,Inorganic Chemistry,,,,,,,,
CA,Charles R Drew University of Medicine and Science,Organic Chemistry,Required,Y,8,N,N,C,Y,
CA,Charles R Drew University of Medicine and Science,Physics,Required,Y,8,N,N,C,Y,
CA,Charles R Drew University of Medicine and Science,Psychology,,,,,,,,
CA,Charles R Drew University of Medicine and Science,Social Sciences,,,,,,,,
CA,Kaiser Permanente School of Medicine,Behavioral Sciences,Required,,4,Y,Y,Y,Y,"In light of COVID-19, we will accept Pass/Fail for
coursework completed during the 2019 - 2020 and
2020 - 2021 academic years."
CA,Kaiser Permanente School of Medicine,Biochemistry,Recommended,,,,,,,
CA,Kaiser Permanente School of Medicine,Biology,Required,Y,8,Y,Y,Y,Y,"In light of COVID-19, we will accept Pass/Fail and
online labs for coursework completed during the
2019 - 2020 and 2020 - 2021 academic years."
CA,Kaiser Permanente School of Medicine,Biology/Zoology,Recommended,,,,,,,
CA,Kaiser Permanente School of Medicine,Calculus,Recommended,,,,,,,
CA,Kaiser Permanente School of Medicine,College English,Recommended,,,,,,,
CA,Kaiser Permanente School of Medicine,College Mathematics,Recommended,,,,,,,
CA,Kaiser Permanente School of Medicine,Computer Science,Recommended,,,,,,,
CA,Kaiser Permanente School of Medicine,Genetics,Recommended,,,,,,,
CA,Kaiser Permanente School of Medicine,Humanities,Required,,4,Y,Y,Y,Y,"In light of COVID-19, we will accept Pass/Fail for
coursework completed during the 2019 - 2020 and
2020 - 2021 academic years."
CA,Kaiser Permanente School of Medicine,Inorganic Chemistry,Required,Y,8,Y,Y,Y,Y,"In light of COVID-19, we will accept Pass/Fail and
online labs for coursework completed during the
2019 - 2020 and 2020 - 2021 academic years."
CA,Kaiser Permanente School of Medicine,Organic Chemistry,Recommended,,,,,,,
CA,Kaiser Permanente School of Medicine,Physics,Required,Y,8,Y,Y,Y,Y,"In light of COVID-19, we will accept Pass/Fail and
online labs for coursework completed during the
2019 - 2020 and 2020 - 2021 academic years."
CA,Kaiser Permanente School of Medicine,Psychology,,,,,,,,
CA,Kaiser Permanente School of Medicine,Social Sciences,,,,,,,,
CA,Keck School of Medicine of the University of Southern California,Behavioral Sciences,,,,,,,,
CA,Keck School of Medicine of the University of Southern California,Biochemistry,,,,,,,,
CA,Keck School of Medicine of the University of Southern California,Biology,,,,,,,,
CA,Keck School of Medicine of the University of Southern California,Biology/Zoology,,N,,,,,,
CA,Keck School of Medicine of the University of Southern California,Calculus,,,,,,,,
CA,Keck School of Medicine of the University of Southern California,College English,,N,,,,,,
CA,Keck School of Medicine of the University of Southern California,College Mathematics,,N,,,,,,
CA,Keck School of Medicine of the University of Southern California,Computer Science,,N,,,,,,
CA,Keck School of Medicine of the University of Southern California,Genetics,,N,,,,,,
CA,Keck School of Medicine of the University of Southern California,Humanities,,,,,,,,
CA,Keck School of Medicine of the University of Southern California,Inorganic Chemistry,,,,,,,,
CA,Keck School of Medicine of the University of Southern California,Organic Chemistry,,,,,,,,
CA,Keck School of Medicine of the University of Southern California,Physics,,,,,,,,
CA,Keck School of Medicine of the University of Southern California,Psychology,,N,,,,,,
CA,Keck School of Medicine of the University of Southern California,Social Sciences,,,,,,,,
CA,Keck School of Medicine of the University of Southern California,Spanish,Recommended,N,,,,,,
CA,Keck School of Medicine of the University of Southern California,Statistics,Recommended,N,,,,,,
CA,Loma Linda University School of Medicine,Behavioral Sciences,,N,,,Y,Y,Y,
CA,Loma Linda University School of Medicine,Biochemistry,Required,N,3,N,N,Y,Y,"One academic term. Organic Chemistry may not be
substituted for this requirement. We will accept Pass/
Fail for coursework taken during the winter/spring
2020 academic terms only."
CA,Loma Linda University School of Medicine,Biology,Required,Y,,N,N,Y,Y,"One year sequence. We will accept Pass/Fail for
coursework taken during the winter/spring 2020
academic terms only."
CA,Loma Linda University School of Medicine,Biology/Zoology,,,,,N,Y,Y,
CA,Loma Linda University School of Medicine,Calculus,,N,,,Y,Y,Y,
CA,Loma Linda University School of Medicine,College English,Required,N,,,Y,Y,Y,"English as required for degree at applicant's U.S. or
Canadian college/university."
CA,Loma Linda University School of Medicine,College Mathematics,,N,,,Y,Y,Y,
CA,Loma Linda University School of Medicine,Computer Science,,N,,,Y,Y,Y,
CA,Loma Linda University School of Medicine,Genetics,,N,,,N,Y,Y,
CA,Loma Linda University School of Medicine,Humanities,,N,,,Y,Y,Y,
CA,Loma Linda University School of Medicine,Inorganic Chemistry,Required,Y,,N,N,Y,Y,"One year sequence. We will accept Pass/Fail for
coursework taken during the winter/spring 2020
academic terms only."
CA,Loma Linda University School of Medicine,Organic Chemistry,Required,Y,,N,N,Y,Y,"One year sequence. We will accept Pass/Fail for
coursework taken during the winter/spring 2020
academic terms only."
CA,Loma Linda University School of Medicine,Physics,Required,Y,,N,N,Y,Y,"One year sequence. We will accept Pass/Fail for
coursework taken during the winter/spring 2020
academic terms only."
CA,Loma Linda University School of Medicine,Psychology,Recommended,N,,,Y,Y,Y,
CA,Loma Linda University School of Medicine,Social Sciences,Recommended,N,,,Y,Y,Y,
CA,Loma Linda University School of Medicine,Statistics,Recommended,N,,,Y,Y,Y,
CA,Stanford University School of Medicine,Behavioral Sciences,Recommended,Y,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,Stanford University School of Medicine,Biochemistry,Recommended,Y,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,Stanford University School of Medicine,Biology,Recommended,Y,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,Stanford University School of Medicine,Biology/Zoology,Recommended,Y,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,Stanford University School of Medicine,Calculus,Recommended,N,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,Stanford University School of Medicine,College English,Recommended,N,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,Stanford University School of Medicine,College Mathematics,Recommended,N,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,Stanford University School of Medicine,Computer Science,Recommended,N,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,Stanford University School of Medicine,Genetics,Recommended,Y,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,Stanford University School of Medicine,Humanities,Recommended,N,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,Stanford University School of Medicine,Inorganic Chemistry,Recommended,Y,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,Stanford University School of Medicine,Organic Chemistry,Recommended,Y,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,Stanford University School of Medicine,Physics,Recommended,Y,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,Stanford University School of Medicine,Psychology,Recommended,Y,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,Stanford University School of Medicine,Social Sciences,Recommended,Y,,Y,Y,Y,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"University of California, Davis, School of Medicine",Advanced Biology,Recommended,N,,,Y,Y,Y,"1 year (2 semesters or 3 quarters) required, totaling
at least 8 units. We will accept Pass/Fail and online
coursework and labs completed during the
2019-2020 through the 2021-2022 academic years."
CA,"University of California, Davis, School of Medicine",Behavioral Sciences,Recommended,N,,,,,Y,
CA,"University of California, Davis, School of Medicine",Biochemistry,Recommended,N,,,,,,
CA,"University of California, Davis, School of Medicine",Biology,Required,N,8,,Y,Y,Y,"1 year (2 semesters or 3 quarters) required, totaling
at least 8 units. We will accept Pass/Fail and online
coursework and labs completed during the
2019-2020 through the 2021-2022 academic years."
CA,"University of California, Davis, School of Medicine",Biology/Zoology,,N,,,,,,
CA,"University of California, Davis, School of Medicine",Calculus,,N,,,,,,
CA,"University of California, Davis, School of Medicine",College English,Recommended,N,,,,,Y,
CA,"University of California, Davis, School of Medicine",College Mathematics,Recommended,N,,,,,Y,
CA,"University of California, Davis, School of Medicine",College Statistics,Recommended,N,,,,,,
CA,"University of California, Davis, School of Medicine",Computer Science,,N,,,,,,
CA,"University of California, Davis, School of Medicine",Genetics,Recommended,N,,,,,,
CA,"University of California, Davis, School of Medicine",Humanities,Recommended,N,,,,,Y,
CA,"University of California, Davis, School of Medicine",Human Physiology,Recommended,N,,,,,,
CA,"University of California, Davis, School of Medicine",Inorganic Chemistry,Required,N,8,,Y,C,Y,"1 year (2 semesters or 3 quarters) required, totaling
at least 8 units. We will accept Pass/Fail and online
coursework and labs completed during the
2019-2020 through the 2021-2022 academic years."
CA,"University of California, Davis, School of Medicine",Organic Chemistry,Required,N,8,,Y,C,Y,"1 year (2 semesters or 3 quarters) required, totaling
at least 8 units. We will accept Pass/Fail and online
coursework and labs completed during the
2019-2020 through the 2021-2022 academic years."
CA,"University of California, Davis, School of Medicine",Physics,Required,N,8,,Y,C,Y,"1 year (2 semesters or 3 quarters) required, totaling
at least 8 units. We will accept Pass/Fail and online
coursework and labs completed during the
2019-2020 through the 2021-2022 academic years."
CA,"University of California, Davis, School of Medicine",Psychology,,N,,,,,,
CA,"University of California, Davis, School of Medicine",Social Sciences,Recommended,N,,,,,Y,
CA,"University of California, Irvine, School of Medicine",Behavioral Sciences,Recommended,N,,,,,,
CA,"University of California, Irvine, School of Medicine",Biochemistry,Required,N,3,,N,Y,Y,"See chemistry requirement, two years of chemistry
are required that include inorganic, organic and
biochemistry."
CA,"University of California, Irvine, School of Medicine",Biology,Required,N,12,C,N,Y,Y,"At least two lower division biology courses and one
upper division course is required. The upper division
course needs to be taken at a 4-year institution."
CA,"University of California, Irvine, School of Medicine",Biology,,,,,,,,
CA,"University of California, Irvine, School of Medicine",Biology/Zoology,,,,,,,,
CA,"University of California, Irvine, School of Medicine",Biostatistics,Recommended,N,,,Y,Y,Y,
CA,"University of California, Irvine, School of Medicine",Calculus,Recommended,N,,,Y,Y,Y,
CA,"University of California, Irvine, School of Medicine",Chemistry,Required,N,16,,Y,Y,Y,"Must equate to 2 years, including general/inorganic
chemistry, organic chemistry and biochemistry."
CA,"University of California, Irvine, School of Medicine",College English,Recommended,N,,,Y,,Y,
CA,"University of California, Irvine, School of Medicine",College Mathematics,,N,,,Y,,,
CA,"University of California, Irvine, School of Medicine",Computer Science,,N,,,Y,,,
CA,"University of California, Irvine, School of Medicine",Genetics,Recommended,N,,,Y,Y,Y,
CA,"University of California, Irvine, School of Medicine",Humanities,Required,N,,,Y,Y,Y,"Applicants must have taken at least one course in
the humanities (English, history, arts)."
CA,"University of California, Irvine, School of Medicine",Inorganic Chemistry,Required,N,3,,Y,Y,Y,"Two years of chemistry are required that include
inorganic, organic and biochemistry."
CA,"University of California, Irvine, School of Medicine",Organic Chemistry,Required,N,3,,N,Y,Y,"Two years of chemistry are required that include
inorganic, organic and biochemistry."
CA,"University of California, Irvine, School of Medicine",Physics,Required,N,6,,Y,Y,Y,
CA,"University of California, Irvine, School of Medicine",Physics,Required,N,8,,Y,Y,Y,Must equate to 1 year
CA,"University of California, Irvine, School of Medicine",Psychology,Recommended,N,,,Y,Y,Y,
